Description,Quoted_Premium
EUR Swaption Premium 3M30Y,539.028
EUR Swaption Premium 10Y30Y,2528.1389
EUR Swaption Premium 3Y30Y,1790.983
EUR Swaption Premium 3M10Y,193.278
EUR Swaption Premium 1Y1Y,NaN
EUR Swaption Premium 1Y5Y,206.46
EUR Swaption Premium 5Y5Y,493.6
EUR Swaption Premium 1M10Y,99.786
EUR Swaption Premium 2Y20Y,1078.016
EUR Swaption Premium 1Y10Y,420.059
EUR Swaption Premium 2Y1Y,NaN
EUR Swaption Premium 5Y10Y,934.127
EUR Swaption Premium 10Y10Y,1134.896
EUR Swaption Premium 10Y20Y,1917.635
EUR Swaption Premium 3Y15Y,1033.172
EUR Swaption Premium 3M5Y,92.457
EUR Swaption Premium 1Y2Y,75.295
EUR Swaption Premium 2Y10Y,601.175
EUR Swaption Premium 2Y2Y,119.609
EUR Swaption Premium 2Y3Y,181.604
EUR Swaption Premium 3Y10Y,738.159
EUR Swaption Premium 4Y10Y,849.079
EUR Swaption Premium 5Y15Y,1288.4351
EUR Swaption Premium 6Y10Y,982.0001
EUR Swaption Premium 7Y10Y,1052.174
EUR Swaption Premium 8Y10Y,1072.0001
EUR Swaption Premium 9Y10Y,1099.0001
EUR Swaption Premium 1M20Y,194.601
EUR Swaption Premium 2M15Y,222.264
EUR Swaption Premium 6M5Y,135.099
EUR Swaption Premium 6M6Y,164.374
EUR Swaption Premium 10Y40Y,NaN
EUR Swaption Premium 15Y15Y,1524.369
EUR Swaption Premium 1Y12Y,NaN
EUR Swaption Premium 1Y15Y,602.302
EUR Swaption Premium 1Y20Y,771.86
EUR Swaption Premium 1Y25Y,929.656
EUR Swaption Premium 1Y3Y,118.892
EUR Swaption Premium 1Y30Y,1076.843
EUR Swaption Premium 1Y4Y,162.101
EUR Swaption Premium 1Y40Y,NaN
EUR Swaption Premium 1Y6Y,248.829
EUR Swaption Premium 1Y7Y,291.292
EUR Swaption Premium 1Y8Y,333.827
EUR Swaption Premium 1Y9Y,376.73
