Description,Quoted_Premium
EUR Swaption Premium 6M2Y,47.864
EUR Swaption Premium 6M5Y,135.099
EUR Swaption Premium 6M7Y,193.883
EUR Swaption Premium 6M10Y,281.815
EUR Swaption Premium 6M15Y,406.788
EUR Swaption Premium 6M20Y,526.405
EUR Swaption Premium 6M30Y,762.345
EUR Swaption Premium 1Y5Y,206.46
EUR Swaption Premium 1Y2Y,75.295
EUR Swaption Premium 1Y15Y,602.302
EUR Swaption Premium 1Y20Y,771.86
EUR Swaption Premium 1Y25Y,929.656
EUR Swaption Premium 2Y2Y,119.609
EUR Swaption Premium 2Y4Y,243.745
EUR Swaption Premium 2Y6Y,365.094
EUR Swaption Premium 2Y10Y,601.175
EUR Swaption Premium 2Y20Y,1078.016
EUR Swaption Premium 2Y30Y,1485.668
EUR Swaption Premium 3Y2Y,155.238
EUR Swaption Premium 3Y5Y,383.592
EUR Swaption Premium 3Y7Y,526.393
EUR Swaption Premium 3Y10Y,738.159
EUR Swaption Premium 3Y15Y,1033.172
EUR Swaption Premium 4Y15Y,1171.999
EUR Swaption Premium 4Y2Y,182.169
EUR Swaption Premium 4Y20Y,1484.0389
EUR Swaption Premium 4Y25Y,1760.734
EUR Swaption Premium 4Y4Y,358.002
EUR Swaption Premium 4Y6Y,527.172
EUR Swaption Premium 4Y8Y,690.826
EUR Swaption Premium 4Y10Y,849.079
EUR Swaption Premium 5Y2Y,203.508
EUR Swaption Premium 5Y5Y,493.6
EUR Swaption Premium 5Y10Y,934.127
EUR Swaption Premium 5Y20Y,1616.671
EUR Swaption Premium 5Y30Y,2198.582
EUR Swaption Premium 7Y15Y,1434.7889
EUR Swaption Premium 7Y2Y,235.233
EUR Swaption Premium 7Y20Y,1789.016
EUR Swaption Premium 7Y25Y,2107.3101
EUR Swaption Premium 7Y30Y,2397.6001
EUR Swaption Premium 7Y4Y,455.573
EUR Swaption Premium 7Y6Y,669.755
EUR Swaption Premium 7Y8Y,871.617
EUR Swaption Premium 10Y2Y,262.805
EUR Swaption Premium 10Y5Y,614.171
EUR Swaption Premium 10Y10Y,1134.896
EUR Swaption Premium 10Y20Y,1917.635
EUR Swaption Premium 10Y15Y,1538.257
EUR Swaption Premium 10Y25Y,2235.7749
EUR Swaption Premium 10Y4Y,500.503
EUR Swaption Premium 10Y6Y,728.64
EUR Swaption Premium 10Y8Y,941.638
EUR Swaption Premium 15Y15Y,1524.369
